Datum,Schifffahrt
2014-09-06,626936
2014-09-07,626936
2014-09-08,626936
2014-09-09,626936
2014-09-10,626936
2014-09-11,626936
2014-09-12,626936
2014-09-13,626936
2014-09-14,626936
2014-09-15,626936
2014-09-16,626936
2014-09-17,626936
2014-09-18,626936
2014-09-19,626936
2014-09-20,626936
2014-09-21,626936
2014-09-22,626936
2014-09-23,626936
2014-09-24,626936
2014-09-25,626936
2014-09-26,626936
2014-09-27,626936
2014-09-28,626936
2014-09-29,626936
2014-09-30,626936
2014-10-01,558597
2014-10-02,558597
2014-10-03,558597
2014-10-04,558597
2014-10-05,558597
2014-10-06,558597
2014-10-07,558597
2014-10-08,558597
2014-10-09,558597
2014-10-10,558597
2014-10-11,558597
2014-10-12,558597
2014-10-13,558597
2014-10-14,558597
2014-10-15,558597
2014-10-16,558597
2014-10-17,558597
2014-10-18,558597
2014-10-19,558597
2014-10-20,558597
2014-10-21,558597
2014-10-22,558597
2014-10-23,558597
2014-10-24,558597
2014-10-25,558597
2014-10-26,558597
2014-10-27,558597
2014-10-28,558597
2014-10-29,558597
2014-10-30,558597
2014-10-31,558597
2014-11-01,378511
2014-11-02,378511
2014-11-03,378511
2014-11-04,378511
2014-11-05,378511
2014-11-06,378511
2014-11-07,378511
2014-11-08,378511
2014-11-09,378511
2014-11-10,378511
2014-11-11,378511
2014-11-12,378511
2014-11-13,378511
2014-11-14,378511
2014-11-15,378511
2014-11-16,378511
2014-11-17,378511
2014-11-18,378511
2014-11-19,378511
2014-11-20,378511
2014-11-21,378511
2014-11-22,378511
2014-11-23,378511
2014-11-24,378511
2014-11-25,378511
2014-11-26,378511
2014-11-27,378511
2014-11-28,378511
2014-11-29,378511
2014-11-30,378511
2014-12-01,368487
2014-12-02,368487
2014-12-03,368487
2014-12-04,368487
2014-12-05,368487
2014-12-06,368487
2014-12-07,368487
2014-12-08,368487
2014-12-09,368487
2014-12-10,368487
2014-12-11,368487
2014-12-12,368487
2014-12-13,368487
2014-12-14,368487
2014-12-15,368487
2014-12-16,368487
2014-12-17,368487
2014-12-18,368487
2014-12-19,368487
2014-12-20,368487
2014-12-21,368487
2014-12-22,368487
2014-12-23,368487
2014-12-24,368487
2014-12-25,368487
2014-12-26,368487
2014-12-27,368487
2014-12-28,368487
2014-12-29,368487
2014-12-30,368487
2014-12-31,368487
2015-01-01,285513
2015-01-02,285513
2015-01-03,285513
2015-01-04,285513
2015-01-05,285513
2015-01-06,285513
2015-01-07,285513
2015-01-08,285513
2015-01-09,285513
2015-01-10,285513
2015-01-11,285513
2015-01-12,285513
2015-01-13,285513
2015-01-14,285513
2015-01-15,285513
2015-01-16,285513
2015-01-17,285513
2015-01-18,285513
2015-01-19,285513
2015-01-20,285513
2015-01-21,285513
2015-01-22,285513
2015-01-23,285513
2015-01-24,285513
2015-01-25,285513
2015-01-26,285513
